id,lkp_id,nama_kelas,link,peserta,lulusan,status,program_keterampilan
K-MOODLE-1066,LKP-792d7e7dfc,Bahasa Inggris Pemula Untuk Sekretaris,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1066,4,0,Sudah Berjalan,
K-MOODLE-496,LKP-792d7e7dfc,Membuat Desain dengan Photoshop dan Corel bagi Ahli Perancang Grafis,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=496,1,0,Sudah Berjalan,
K-MOODLE-411,LKP-661853af59,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=411,2,0,Sudah Berjalan,
K-MOODLE-442,LKP-1d8f5791a7,Kursus Baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=442,2,0,Sudah Berjalan,
K-MOODLE-543,LKP-05018d7b40,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=543,2,0,Sudah Berjalan,
K-MOODLE-472,LKP-0e6349046e,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=472,2,0,Sudah Berjalan,
K-MOODLE-823,LKP-3fecc3457b,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=823,2,0,Sudah Berjalan,
K-MOODLE-1243,LKP-1e2d07eee6,DESY EDUCATION KURSUS PERHOTELAN,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1243,3,0,Sudah Berjalan,
K-MOODLE-1244,LKP-1e2d07eee6,DESY EDUCATION KURSUS BAHASA INGGRIS,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1244,1,0,Sudah Berjalan,
K-MOODLE-1245,LKP-1e2d07eee6,DESY EDUCATION KURSUS BAHASA MANDARIN,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1245,30,0,Sudah Berjalan,
K-MOODLE-2025,LKP-a2e4a08a02,Bimbel Mental Aritmatic (sempoa) dan English for kidz LKP EL'ARITMATIC ROGOJAMPI,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2025,2,0,Sudah Berjalan,
K-MOODLE-1635,LKP-261eb5a32e,Bahas Inggris dan Mandarin KLLC BANYUWANGI,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1635,2,0,Sudah Berjalan,
K-MOODLE-624,LKP-95636fb637,Speak English Naturally: Metode Cepat untuk Pemula,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=624,6,0,Sudah Berjalan,
K-MOODLE-985,LKP-95636fb637,Kursus Barista Manual Brew,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=985,1,0,Sudah Berjalan,
K-MOODLE-2213,LKP-8eaa41c42f,Fokus Teknik Tata Rias Pengantin LKP Canggih,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2213,1,0,Sudah Berjalan,
K-MOODLE-2210,LKP-007b102929,Kursus Menjahit Celana Kolor,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2210,2,0,Sudah Berjalan,
K-MOODLE-1633,LKP-6246887b5b,Digital Marketing Level Dasar LKP AR RASYID,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1633,2,0,Sudah Berjalan,
K-MOODLE-2277,LKP-f0361f1792,Mengoperasikan Aplikasi Perkantoran bagi Pegawai Kantor Umum,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2277,2,0,Sudah Berjalan,
K-MOODLE-430,LKP-6d3170d03f,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=430,2,0,Sudah Berjalan,
K-MOODLE-565,LKP-7e514e5f82,OPERATOR KOMPUTER PROFESIONAL DENGAN MICROSOFT OFFICE,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=565,2,0,Sudah Berjalan,
K-MOODLE-850,LKP-7e514e5f82,Kursus Pemasaran Digital,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=850,3,0,Sudah Berjalan,
K-MOODLE-499,LKP-c87f9e0ddd,Pembuatan Modeling 3D untuk Asset Game Roblox,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=499,3,0,Sudah Berjalan,
K-MOODLE-711,LKP-2afa46aeab,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=711,2,0,Sudah Berjalan,
K-MOODLE-800,LKP-c2e9658491,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=800,2,0,Sudah Berjalan,
K-MOODLE-849,LKP-2dcab1ded0,Office for Basic,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=849,2,0,Sudah Berjalan,
K-MOODLE-796,LKP-dc12d08f0a,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=796,2,0,Sudah Berjalan,
K-MOODLE-504,LKP-dbeedc5cfa,kursusbaru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=504,3,0,Sudah Berjalan,
K-MOODLE-372,LKP-eeb0ae60de,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=372,2,0,Sudah Berjalan,
K-MOODLE-636,LKP-c8cbf51693,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=636,2,0,Sudah Berjalan,
K-MOODLE-2016,LKP-5c4d3f5c3b,Tata Boga Bakery dan Pastry,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2016,14,0,Sudah Berjalan,
K-MOODLE-1232,LKP-55a0b7c8c9,Microsoft Office Word,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1232,16,0,Sudah Berjalan,
